"name","city","state","zip"
"Hummel Flowers Inc","Anchorage","AK","99503"
"Muffy's Flowers Gifts","Anchorage","AK","99501"
"A Special Touch","Anchorage","AK","99503"
"Uptown Blossoms","Anchorage","AK","99503"
"Sutton's Greenhouse","Anchorage","AK","99507"
"Evalyn's Floral","Anchorage","AK","99503"
"Bagoys Florist Home","Anchorage","AK","99503"
"My Desire Flower Shop","Craig","AK","99921"
"Bagoy's Florist Home","Anchorage","AK","99518"
"The Cracker Box","Dillingham","AK","99576"
"Dimond Greenhouses","Anchorage","AK","99515"
"Green Connection","Anchorage","AK","99501"
"Arctic Floral","Fairbanks","AK","99701"
"Santina's Flowers Gifts","Fairbanks","AK","99701"
"Carrs","Anchorage","AK","99517"
"Anchorage Floral","Anchorage","AK","99517"
"A Blooming Rose Floral Gift Shop","Fairbanks","AK","99701"
"Forget Me Not Flowers Gifts","Homer","AK","99603"
"Muffys Magic Garden","Anchorage","AK","99508"
"Cookies Country Greenhouse","Homer","AK","99603"
"You're Special Flowers Gifts","Fairbanks","AK","99709"
"Bloomsbury Blooms","Anchorage","AK","99501"
"Little Flower Ministries","Fairbanks","AK","99708"
"College Floral Gift Shop","Fairbanks","AK","99709"
"Martha's Flowers Weddings","Juneau","AK","99801"
"Dees Flowers Balloons","Anchorage","AK","99501"
"Kenai Ftd Floral","Kenai","AK","99611"
"Heavenly Creations","Ketchikan","AK","99901"
"A Blooming Rose Floral Gift Shop","Fairbanks","AK","99701"
"Northern Flowers","Anchorage","AK","99501"
"Connie's Flowers","Kenai","AK","99611"
"Flower Cache","Ketchikan","AK","99901"
"Greenery Flower Shoppe","Juneau","AK","99801"
"Downtown Flower Shop","Fairbanks","AK","99701"
"Precious Flowers Oriental","Kodiak","AK","99615"
"Alaska Marketplace","Anchorage","AK","99503"
"Miss Scarlett's","Juneau","AK","99801"
"Rose's Caboose","Ketchikan","AK","99901"
"Alaskan Floral Wedding","Fairbanks","AK","99709"
"Special Touch Florist","Anchorage","AK","99503"
"Frenchie's Floral Studio","Juneau","AK","99801"
"Evergreen Florist","Anchorage","AK","99503"
"Polar Peonies","Fairbanks","AK","99709"
"Northern Lights Greenhouse Garden Supply Inc","Ketchikan","AK","99901"
"Greenery Flower Shoppe","Juneau","AK","99801"
"Something Special","Ketchikan","AK","99901"
"Beyond Aloha","Anchorage","AK","99503"
"A Daisy A Day Floral","Fairbanks","AK","99701"
"Scarletts Greenery","Juneau","AK","99801"
"Eagle","Nome","AK","99762"
"Alaskan Proud","Ketchikan","AK","99901"
"Flowers By Chanda","Anchorage","AK","99503"
"Plant Kingdom","Fairbanks","AK","99712"
"A Joyful Arrangement","Fairbanks","AK","99701"
"FTD Floral","Juneau","AK","99801"
"Flower Farm","Petersburg","AK","99833"
"Trinh's Floral Shop","Nome","AK","99762"
"Turnstone Farm","Anchorage","AK","99508"
"Heavenly Creations","Ketchikan","AK","99901"
"Garlands of Grace","Palmer","AK","99645"
"Ann's Greenhouses","Fairbanks","AK","99709"
"Pike's Greenhouse","Fairbanks","AK","99709"
"Forget-Me-Not Floral Hallmark","Petersburg","AK","99833"
"Trans Floral Shop","Nome","AK","99762"
"Pacific Bloom","Anchorage","AK","99508"
"Floral Creations","Palmer","AK","99645"
"Flower Farm","Petersburg","AK","99833"
"Risse Greenhouse","Fairbanks","AK","99712"
"Candy Bouquet","Fairbanks","AK","99701"
"Floral Expressions By Carrs","Anchorage","AK","99508"
"Blossoms Bygones","Palmer","AK","99645"
"Love Matter With Flowers","Petersburg","AK","99833"
"Alaskan Floral Wedding","Fairbanks","AK","99701"
"Polynesian Floral Design","Anchorage","AK","99508"
"Bev's Flowers Gifts","Sitka","AK","99835"
"Garden City Greenhouse","Skagway","AK","99840"
"Candy Bouquet","Palmer","AK","99645"
"Kate's Flowers Gifts","Soldotna","AK","99669"
"Sedona Florist Inc","Soldotna","AK","99669"
"Flowers International Flowers","Anchorage","AK","99507"
"Bev's Flowers Gifts","Sitka","AK","99835"
"Flower Flingers","Palmer","AK","99645"
"Skagway Sculpture Flower Garden","Skagway","AK","99840"
"Rose Garden","Anchorage","AK","99507"
"Sitka Flowers Chocolate Moose","Sitka","AK","99835"
"Flower Flingers","Palmer","AK","99645"
"Northwind","Valdez","AK","99686"
"Floral Creations","Wasilla","AK","99654"
"Poppy Lane Flowers","Soldotna","AK","99669"
"Elaines Florist","Abbeville","AL","36310"
"Floral Expressions","Anchorage","AK","99504"
"Sedona Florist","Soldotna","AK","99669"
"Colony Greenhouse","Palmer","AK","99645"
"Flowers By Blake","Alabaster","AL","35007"
"Flowers By Louise Inc","Wasilla","AK","99654"
"Adamsville Floral Company","Adamsville","AL","35005"
"Valley Florist Gifts","Alexandria","AL","36250"
"Callie's Flowers Gifts","Aliceville","AL","35442"
"Beckys Buds Blossoms","Anchorage","AK","99517"
"Andalusia Flower Gift Shop","Andalusia","AL","36420"
"Cindees Backyard","Albertville","AL","35950"
"Candy Bouquet","Soldotna","AK","99669"
"Flower Pot","Abbeville","AL","36310"
"It's a Magickal Time","Altoona","AL","35952"
"Angel's Trumpet Flowers Gifts","Arab","AL","35016"
"A A Flower Shop","Ardmore","AL","35739"
"Alabaster Florist","Alabaster","AL","35007"
"Shearer Flowers","Adamsville","AL","35005"
"All Occasions Floral Wholesale","Wasilla","AK","99654"
"Southside Party Flowers","Anchorage","AK","99516"
"Arley Flower Gift Shop","Arley","AL","35541"
"English Cottage Flowers Gifts","Ashland","AL","36251"
"Hospital Flower Shop","Anniston","AL","36201"
"Butterfly Garden","Aliceville","AL","35442"
"Trinity Greenhouse","Soldotna","AK","99669"
"Young's Florist","Andalusia","AL","36420"
"The Petal Pusher","Ashford","AL","36312"
"D Wright Designs","Albertville","AL","35950"
"Hendricks Vernon Peggy","Abbeville","AL","36310"
"Addison Floral and Gift","Addison","AL","35540"
"Sherry's Elegant Flowers","Atmore","AL","36502"
"Lola's Flower Shop","Aliceville","AL","35442"
"Snead Florist Gifts","Altoona","AL","35952"
"Athens Florist Gifts Inc","Athens","AL","35611"
"Ardmore Florist","Ardmore","AL","35739"
"Martha Jean's Florist","Attalla","AL","35954"
"Adamsville Floral Co.","Adamsville","AL","35005"
"Buddy's Country Flowers","Arab","AL","35016"
"Alana's Flower Shop","Anniston","AL","36206"
"Ashville Florist Gift Shop","Ashville","AL","35953"
"Barton's Greenhouse Nursery","Alabaster","AL","35007"
"Maryann's Florist","Andalusia","AL","36420"
"The Flower Market","Albertville","AL","35950"
"The Petal Pusher Florist Gifts","Ashford","AL","36312"
"Busy B Flower And Gift Shop","Arley","AL","35541"
"Ann's Flowers Gifts Jewelry Nursery","Ashland","AL","36251"
"Check It Out Balloons Flowers","Auburn","AL","36830"
"Harvey Martin","Attalla","AL","35954"
"House of Flowers","Addison","AL","35540"
"Aline's Flower Shop","Aliceville","AL","35442"
"Vickie's Floral Creations","Athens","AL","35611"
"Jackie's Floral Gallery","Anniston","AL","36207"
"Roses 670","Adamsville","AL","35005"
"How Eventful, LLC","Ashville","AL","35953"
"Flowerz N More","Alabaster","AL","35007"
"Riggins Flowers","Arab","AL","35016"
"Silver Rabbit Flowers Gifts","Albertville","AL","35951"
"Alan Cotton's Florist","Andalusia","AL","36420"
"Arctic Blossoms","Anchorage","AK","99508"
"Southern Daisy Flower Boutique","Bessemer","AL","35023"
"Bloomers Florists Gifts","Berry","AL","35546"
"The Flower Store","Auburn","AL","36830"
"Ferguson Greenhouses","Attalla","AL","35954"
"J G Sales Florist","Athens","AL","35611"
"Evans Flower Shop Gifts","Anniston","AL","36201"
"Bolin-Reeves Florist Inc","Birmingham","AL","35211"
"Boaz Florist Antiques","Boaz","AL","35957"
"Blountsville Florist","Blountsville","AL","35031"
"Martin Flowers Gifts","Attalla","AL","35954"
"Ann's Flowers","Bessemer","AL","35020"
"Perfect Petals","Berry","AL","35546"
"Flowers by Monet","Anniston","AL","36201"
"J G Sales Florist","Athens","AL","35611"
"Godwin's Florist","Atmore","AL","36502"
"Candy Bouquet","Wasilla","AK","99654"
"Flower Exchange","Arab","AL","35016"
"Magnolia Place on Main Inc","Brantley","AL","36009"
"Village Floral Shop","Auburn","AL","36830"
"The Ritz Florist","Birmingham","AL","35242"
"Bama Florist","Bridgeport","AL","35740"
"Bloomers Florist Gifts","Berry","AL","35546"
"Herrington's the Florist Inc","Brewton","AL","36426"
"A J Flower Shoppe","Bryant","AL","35958"
"Open Window Flowers","Bessemer","AL","35022"
"Alexander's Florist Gifts","Boaz","AL","35957"
"Flowers Distributing Company of North Alabama","Anniston","AL","36206"
"Brundidge Florist","Brundidge","AL","36010"
"Duggers Florist","Athens","AL","35611"
"Margaret's Nursery Flower Shop","Butler","AL","36904"
"Forget-Me-Knot Florist","Brookwood","AL","35444"
"Southern Stems","Atmore","AL","36502"
"The Old Greenhouse","Arab","AL","35016"
"Auburn Flowers Gift","Auburn","AL","36831"
"Flowers By Louise Inc","Wasilla","AK","99654"
"Le Fleur","Calera","AL","35040"
"Jackson's Flowers Things","Brewton","AL","36426"
"Martin Flowers and Gifts","Boaz","AL","35956"
"Main Street Florist","Birmingham","AL","35242"
"A Floral Sensation, Inc.","Bessemer","AL","35023"
"Albritton's Florist Gifts","Camden","AL","36726"
"Dessert Menu","Anniston","AL","36207"
"Atmore Flower Shop","Atmore","AL","36502"
"Bama Florists","Brookwood","AL","35444"
"Nip Tuck Florist","Athens","AL","35611"
"Hollyhock Gallery","Auburn","AL","36830"
"Scentsations Floral Gifts","Wasilla","AK","99654"
"Beard's Florist","Butler","AL","36904"
"Mountain Brook Flower Shop","Birmingham","AL","35223"
"Boaz Florist","Boaz","AL","35957"
"Brewton's Village Flower Shop","Brewton","AL","36426"
"Ermas Flower Shop","Camden","AL","36726"
"Linda's Florist","Calera","AL","35040"
"Southern Posies","Cecil","AL","36013"
"Petal Pusher","Atmore","AL","36502"
"Charming Fancy Design","Anniston","AL","36201"
"Athens Pharmacy","Athens","AL","35611"
"1-800-FLOWERS.COM","Bessemer","AL","35020"
"Betty's Flowers","Centreville","AL","35042"
"Cherokee Flowers Boutique","Cherokee","AL","35616"
"The Lily Pad","Centre","AL","35960"
"Chatom Florist Gifts","Chatom","AL","36518"
"Kimies Floral","Wasilla","AK","99623"
"Forget Me Not Flowers Gifts","Childersburg","AL","35044"
"Petals To Piglets","Chelsea","AL","35043"
"Pinedale Gardens","Clanton","AL","35045"
"Fun Fancy","Auburn","AL","36830"
"Flowers Eula","Camden","AL","36726"
